Summary,Issue Type,Priority,Description,Story Points,Sprint,Epic Name,Epic Link
Implementar seletor de categoria para transações do tipo Despesa,Task,High,"Criar CategorySelector widget com Wrap de ChoiceChip para as 9 categorias (Alimentação, Transporte, Moradia, Saúde, Educação, Lazer, Assinaturas, Viagens, Outros). Exibir apenas quando tipo = Despesa.",3,Sprint 2 — Dashboard & Transações,,Transações
"Integrar POST /api/v1/transactions/app com mapeamento categoria → enum",Task,High,"Ao submeter, mapear categoria PT-BR para enum backend (ex: Alimentação → FOOD). Chamar POST /api/v1/transactions/app. Exibir SnackBar de sucesso ou erro. Mostrar loading durante chamada.",2,Sprint 2 — Dashboard & Transações,,Transações
Redirecionar e invalidar cache após criação de transação,Task,Medium,"Após criação com sucesso, chamar go_router.pop() e invalidar providers de transactions e summary no Riverpod para forçar recarregamento do Dashboard e da tela de Transações.",1,Sprint 2 — Dashboard & Transações,,Transações
"Como usuário, quero visualizar gastos por dia da semana",Story,Medium,"Gráfico de barras mostrando total de despesas agrupado por dia da semana atual, com valores formatados em BRL.",3,Sprint 3 — Gráficos e Análises,,Gráficos e Análises
Implementar WeeklyBarChart com fl_chart,Task,Medium,"Criar WeeklyBarChart usando fl_chart BarChart. Receber lista de transações e agrupar despesas por dia da semana (Dom–Sáb). Barras com cor primária, eixo X com iniciais dos dias e tooltip com valor em BRL.",5,Sprint 3 — Gráficos e Análises,,Gráficos e Análises
"Como usuário, quero ver a distribuição de gastos por categoria",Story,Medium,"Gráfico de pizza com percentual de cada categoria de despesa no período selecionado, acompanhado de legenda com cor e nome.",3,Sprint 3 — Gráficos e Análises,,Gráficos e Análises
Implementar CategoryPieChart com legenda colorida,Task,Medium,"Criar CategoryPieChart usando fl_chart PieChart. Agrupar despesas por categoria e calcular percentual. Exibir legenda lateral com Container colorido, nome da categoria e percentual (ex: Alimentação 42%).",5,Sprint 3 — Gráficos e Análises,,Gráficos e Análises
"Como usuário, quero filtrar os gráficos por período",Story,Medium,"Seletor com três opções (Semana atual, Mês atual, Mês anterior) que atualiza ambos os gráficos.",2,Sprint 3 — Gráficos e Análises,,Gráficos e Análises
"Implementar PeriodSelector (Semana atual, Mês atual, Mês anterior)",Task,Medium,"Criar PeriodSelector widget com SegmentedButton ou ChoiceChip group. Ao selecionar período, calcular startDate/endDate correspondentes e atualizar provider de charts.",3,Sprint 3 — Gráficos e Análises,,Gráficos e Análises
Integrar GET /api/v1/transactions/summary e /transactions com datas dinâmicas,Task,Medium,"Criar ChartsNotifier que recebe período selecionado, calcula startDate/endDate e chama GET /api/v1/transactions/summary e GET /api/v1/transactions com os parâmetros corretos. Atualizar ambos os gráficos.",2,Sprint 3 — Gráficos e Análises,,Gráficos e Análises
Implementar ChartsPage com layout scrollável combinando os gráficos,Task,Medium,"Criar ChartsPage com SingleChildScrollView contendo: PeriodSelector, título 'Gastos por dia', WeeklyBarChart, título 'Por categoria', CategoryPieChart. Exibir loading e empty state.",3,Sprint 3 — Gráficos e Análises,,Gráficos e Análises
"[BACKEND] Criar migration V6: tabela goals",Task,High,"Criar V6__create_goals.sql: id UUID PRIMARY KEY DEFAULT gen_random_uuid(), user_id UUID NOT NULL REFERENCES users(id), name VARCHAR(100) NOT NULL, target_amount NUMERIC(12,2) NOT NULL, current_amount NUMERIC(12,2) NOT NULL DEFAULT 0, icon VARCHAR(10) NOT NULL DEFAULT '🎯', created_at TIMESTAMP WITH TIME ZONE NOT NULL DEFAULT NOW(). Adicionar índice em user_id.",2,Sprint 4 — Metas,,Metas — Backend Spring Boot
"[BACKEND] Criar model Goal.java com @ManyToOne User",Task,High,"Criar entidade Goal.java com @Entity @Table(name='goals'). Mapear todos os campos com @Column. Adicionar @ManyToOne @JoinColumn(name='user_id') para User. Usar @GeneratedValue com UUID.",2,Sprint 4 — Metas,,Metas — Backend Spring Boot
"[BACKEND] Criar GoalRepository.java (JPA)",Task,High,"Criar interface GoalRepository extends JpaRepository<Goal, UUID>. Adicionar método findAllByUserIdOrderByCreatedAtDesc(UUID userId) retornando List<Goal>. Adicionar existsByIdAndUserId para validação de ownership.",1,Sprint 4 — Metas,,Metas — Backend Spring Boot
"[BACKEND] Criar DTOs: GoalRequest, GoalResponse e GoalProgressRequest",Task,High,"Criar GoalRequest (name @NotBlank @Size(max=100), targetAmount @Positive, currentAmount @PositiveOrZero, icon @Size(max=10)). Criar GoalResponse (id, name, targetAmount, currentAmount, icon, createdAt, percentComplete calculado). Criar GoalProgressRequest (amount @Positive).",2,Sprint 4 — Metas,,Metas — Backend Spring Boot
"[BACKEND] Criar GoalService interface + GoalServiceImpl com validação de ownership",Task,High,"Implementar: createGoal(userId, GoalRequest), listGoals(userId), updateGoal(userId, goalId, GoalRequest), deleteGoal(userId, goalId) e addProgress(userId, goalId, GoalProgressRequest). Lançar UnauthorizedException se goal.userId != userId.",3,Sprint 4 — Metas,,Metas — Backend Spring Boot
"[BACKEND] Criar GoalController: POST, GET, PUT /{id}, DELETE /{id}, PATCH /{id}/progress",Task,High,"Criar GoalController @RestController @RequestMapping('/api/v1/goals'). Endpoints protegidos por JWT: POST (criar), GET (listar), PUT /{id} (editar), DELETE /{id} (apagar com 204), PATCH /{id}/progress (adicionar valor a currentAmount). Usar SecurityUtils.getCurrentUserId() para extrair userId.",3,Sprint 4 — Metas,,Metas — Backend Spring Boot
"[BACKEND] Garantir segurança por JWT: usuário acessa apenas suas próprias metas",Task,High,"Verificar em GoalServiceImpl que goal.getUserId().equals(currentUserId) antes de qualquer operação de leitura/escrita individual. Lançar UnauthorizedException (HTTP 403) caso contrário. Cobrir com testes unitários de ownership.",2,Sprint 4 — Metas,,Metas — Backend Spring Boot
"Como usuário, quero ver minhas metas financeiras com progresso visual",Story,High,"Lista de metas com card contendo emoji, nome da meta, barra de progresso colorida, percentual concluído e valor restante para atingir.",3,Sprint 4 — Metas,,Metas — Flutter
"Implementar GoalsPage: lista de GoalCards com progresso",Task,High,"Criar GoalsPage com ListView de GoalCard widgets. Cada GoalCard exibe: emoji em Container arredondado, nome, LinearProgressIndicator com cor primária, '42% concluído' e 'Faltam R$ X'. Menu ⋮ com opções Editar e Apagar.",5,Sprint 4 — Metas,,Metas — Flutter
Integrar GET /api/v1/goals com loading e empty state,Task,High,"Criar GoalsNotifier (Riverpod) que chama GET /api/v1/goals e expõe AsyncValue<List<GoalModel>>. GoalsPage exibe CircularProgressIndicator durante carregamento e empty state com mascote quando lista vazia.",2,Sprint 4 — Metas,,Metas — Flutter
"Como usuário, quero criar uma nova meta",Story,High,"Botão '+' abre dialog com picker de emoji, campo nome e campo valor alvo. Ao confirmar, meta é criada no backend e aparece na lista.",3,Sprint 4 — Metas,,Metas — Flutter
"Implementar CreateGoalDialog: picker de emoji, campos nome e valor alvo",Task,High,"Criar CreateGoalDialog com: Wrap de 8 emojis selecionáveis (🏠🚗✈️📱🎓💰🏖️🎯), TextFormField para nome (obrigatório), TextFormField numérico para valor alvo (> 0). Botão Criar Meta com loading state.",3,Sprint 4 — Metas,,Metas — Flutter
Integrar POST /api/v1/goals e atualizar lista,Task,High,"Ao confirmar criação, chamar POST /api/v1/goals. Em caso de sucesso, fechar dialog e invalidar GoalsNotifier para recarregar lista. Exibir SnackBar de sucesso.",1,Sprint 4 — Metas,,Metas — Flutter
"Como usuário, quero editar ou excluir uma meta existente",Story,Medium,"Menu de contexto (⋮) em cada card com opções Editar (abre dialog pré-preenchido) e Apagar (abre confirmação antes de deletar).",2,Sprint 4 — Metas,,Metas — Flutter
Implementar EditGoalDialog e ConfirmDeleteDialog,Task,Medium,"Criar EditGoalDialog com mesmo layout do de criação, pré-preenchido com dados da meta. Criar ConfirmDeleteDialog com AlertDialog padrão. Ambos com loading durante chamada e tratamento de erro.",3,Sprint 4 — Metas,,Metas — Flutter
"Integrar PUT /api/v1/goals/{id} e DELETE /api/v1/goals/{id}",Task,Medium,"Chamar PUT para salvar edições e DELETE para remover meta. Após cada operação com sucesso, invalidar GoalsNotifier e exibir SnackBar de confirmação.",2,Sprint 4 — Metas,,Metas — Flutter
"Como usuário, quero alocar valor para uma meta e ver o progresso atualizar",Story,High,"Botão 'Investir nesta meta' expande um campo de valor inline no card. Ao confirmar, o progresso é atualizado no backend e a barra anima.",2,Sprint 4 — Metas,,Metas — Flutter
Implementar input de alocação inline no GoalCard,Task,Medium,"Ao tocar em 'Investir nesta meta', expandir AnimatedContainer com TextField numérico e botão Alocar. Validar que valor > 0. Exibir erro inline se inválido.",2,Sprint 4 — Metas,,Metas — Flutter
"Integrar PATCH /api/v1/goals/{id}/progress",Task,Medium,"Chamar PATCH /api/v1/goals/{id}/progress com {amount: valor}. Atualizar o GoalModel localmente com otimistic update antes de recarregar a lista. Exibir SnackBar de sucesso.",1,Sprint 4 — Metas,,Metas — Flutter
Implementar MotivationCard com dica rotativa baseada na data,Task,Low,"Criar MotivationCard widget com fundo roxo e logo. Selecionar dica da lista de 7 itens usando índice determinístico (dayOfYear % 7). Exibir totais de valor guardado e metas concluídas quando goals > 0.",2,Sprint 4 — Metas,,Metas — Flutter
"Como usuário, quero ver e gerenciar meu perfil",Story,High,"Card com avatar, nome, email e plano atual. Seção de configurações com WhatsApp linking, toggle de tema, planos disponíveis e logout.",2,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
"Implementar ProfilePage: UserCard com nome, email e plano atual",Task,High,"Criar ProfilePage com UserCard (avatar circular com logo Piggy, nome e email do usuário, badge do plano atual). Abaixo, seção 'Planos disponíveis' com PlansSection estático.",3,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
Integrar GET /api/v1/users/me no perfil (reutilizar estado global),Task,High,"Consumir UserNotifier (Riverpod) já carregado no Dashboard para exibir nome e email na ProfilePage sem nova requisição.",1,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
"Como usuário, quero vincular meu WhatsApp para registrar transações por mensagem",Story,High,"Seção no perfil mostrando status do vínculo. Se não vinculado, botão gera código de 6 dígitos e exibe instruções. Se vinculado, exibe número mascarado.",5,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
"Implementar WhatsAppLinkingSection: status vinculado/não vinculado",Task,High,"Criar WhatsAppLinkingSection widget. Se UserModel.phoneNumber != null, exibir número mascarado (ex: +55 ** **** 1234) e badge 'Vinculado'. Se null, exibir botão 'Vincular WhatsApp'.",3,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
"Integrar POST /api/v1/users/whatsapp/link/generate e exibir código em dialog",Task,High,"Ao tocar em 'Vincular WhatsApp', chamar POST /api/v1/users/whatsapp/link/generate. Exibir código de 6 dígitos retornado em AlertDialog com instruções: 'Envie este código para [número do WhatsApp bot] via WhatsApp'.",2,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
"Implementar botão 'Já enviei' que verifica confirmação do vínculo",Task,Medium,"No dialog de código, adicionar botão 'Já enviei'. Ao tocar, chamar GET /api/v1/users/me e verificar se phoneNumber foi preenchido. Se sim, fechar dialog e atualizar status para Vinculado. Se não, exibir mensagem orientando aguardar.",2,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
"Como usuário, quero alternar entre tema claro e escuro",Story,Medium,"Toggle de tema acessível na tela Profile que persiste entre sessões do app.",1,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
Implementar ThemeNotifier com persistência via SharedPreferences,Task,Medium,"Criar ThemeNotifier (Riverpod StateNotifier<ThemeMode>). Ler ThemeMode salvo em SharedPreferences na inicialização. Salvar ao alterar. Conectar ao MaterialApp.themeMode. Exibir ToggleTile no Profile.",2,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
"Implementar PlansSection estática: Free, Plus e Pro com badge 'Em breve'",Task,Low,"Criar PlansSection com três PlanCard (Free R$0, Plus R$9,90/mês, Pro R$19,90/mês). Planos pagos exibem badge 'Em breve' e botão desabilitado (opacity 0.5). Plano atual com borda primária e label 'Seu plano atual'.",2,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
Implementar logout na ProfilePage,Task,High,"Botão 'Sair' que chama AuthStorage.clearToken(), invalida todos os providers Riverpod via ref.invalidate() e navega para /welcome via go_router.go() com replace para impedir voltar.",1,Sprint 5 — Perfil & WhatsApp,,Perfil & WhatsApp Linking
Configurar flutter_lints e corrigir todos os warnings estáticos,Task,Medium,"Adicionar flutter_lints ao dev_dependencies. Executar flutter analyze --fatal-infos. Corrigir todos os warnings reportados. Garantir zero issues antes de fechar a sprint.",2,Sprint 6 — QA & Deploy,,QA & Deploy
"Escrever testes de widget: WelcomePage, LoginPage, RegisterPage",Task,Medium,"Criar test/widget/auth_test.dart. WelcomePage: verifica renderização dos botões. LoginPage: submeter sem campos exibe erros de validação. RegisterPage: senha curta exibe erro. Usar mockito para mockar AuthService.",3,Sprint 6 — QA & Deploy,,QA & Deploy
"Escrever testes de widget: DashboardPage, AddTransactionPage",Task,Medium,"Criar test/widget/dashboard_test.dart. DashboardPage: renderiza BalanceCard com dados mockados via ProviderOverride. AddTransactionPage: toggle Despesa exibe CategorySelector, toggle Receita esconde.",3,Sprint 6 — QA & Deploy,,QA & Deploy
Escrever testes de widget: GoalsPage,Task,Medium,"Criar test/widget/goals_test.dart. GoalsPage: renderiza empty state quando lista vazia, renderiza GoalCard quando há metas, tocar em 'Adicionar meta' abre CreateGoalDialog, validação de campos obrigatórios no dialog.",3,Sprint 6 — QA & Deploy,,QA & Deploy
Configurar GitHub Actions: build Android (APK) + análise estática,Task,High,"Criar .github/workflows/android.yml: trigger em push/PR para main. Steps: checkout, subosito/setup-flutter, flutter pub get, flutter analyze, flutter test, flutter build apk --release. Upload artifact do APK.",3,Sprint 6 — QA & Deploy,,QA & Deploy
Configurar GitHub Actions: build Web (flutter build web),Task,High,"Criar .github/workflows/web.yml: mesmos steps de setup + flutter build web --release. Upload de build/web/ como artifact. Opcional: deploy para GitHub Pages em branch gh-pages.",2,Sprint 6 — QA & Deploy,,QA & Deploy
Atualizar Dockerfile e docker-compose para servir Flutter Web via nginx,Task,High,"Adaptar Dockerfile multi-stage do Sprint 1 com base no build web funcional. Verificar que docker-compose up serve o app corretamente em localhost. Testar que roteamento go_router funciona com nginx try_files.",2,Sprint 6 — QA & Deploy,,QA & Deploy
Validar build iOS (Xcode archive ou Codemagic),Task,High,"Executar flutter build ios --release --no-codesign. Documentar pré-requisitos (Xcode 15+, Apple Developer Account). Registrar resultado no checklist de release. Opcional: configurar Codemagic para CI iOS automatizado.",3,Sprint 6 — QA & Deploy,,QA & Deploy
"Teste de smoke Web: auth → dashboard → transação → meta → perfil",Task,High,"No browser (Chrome), executar: login com usuário real, verificar saldo no Dashboard, criar uma transação, criar uma meta e alocar valor, gerar código WhatsApp, fazer logout. Documentar resultado em checklist com screenshots.",2,Sprint 6 — QA & Deploy,,QA & Deploy
"Teste de smoke Android: mesmo fluxo end-to-end",Task,High,"Instalar APK em dispositivo físico ou emulador Android API 33+. Executar o mesmo fluxo do smoke web. Verificar ausência de crashes, comportamento de teclado, formatação de valores e responsividade.",2,Sprint 6 — QA & Deploy,,QA & Deploy
